sample_city_name,sample_site_name,sample_site_code,ons_site_name,grid_reference_east,grid_reference_north,grab_compo_ind
Greater London,Greenwich Terminal,TW-GWT,,538659,177791,Grab
,MINEHEAD STW,UKENSW_WXW_TP000057,,299129,145071,Composite
Birmingham,Tyburn Road All,ST-BTX,,410175,289765,Grab
,RETFORD STW,UKENMI_ST_TP000178,,469629,382781,Grab
,BARNSTAPLE   STW,UKENSW_SWS_TP000002,,253327,134309,Composite
Sheffield,Whirlow,YW-NFI,,432225,382593,Grab
Greater Manchester,Oldham Failsworth,UU-OFW,,390149,402043,Grab
,JAYWICK STW,UKENAN_AW_TP000148,,614064,214273,Grab
Nottingham,Nottingham City B,ST-NCB,,457551,339222,Grab
,CONSETT STW,UKENNE_NU_TP000019,,409679,554931,Composite
,BRIDLINGTON STW,UKENNE_YW_TP000061,,515971,465255,Composite
Greater London,Walthamstow Tudor Court,TW-TUC,,536549,187935,Grab
Bristol,Knowle West,WW-KNO,,356880,171793,Grab
,MIDDLESBOROUGH   STW,UKENNE_NU_TP000012,,456119,524091,Composite
Leeds,"Gipton, Oakwood",YW-GIP,,433803,434684,Grab
,SHEFFIELD (BLACKBURN MEADOWS) STW,UKENNE_YW_TP000057,,439589,391567,Grab
Greater Manchester,Wigan all areas,UU-WCA,,358372,405618,Grab
,KENDAL STW,UKENNW_UU_TP000070,,351699,490791,Composite
Sheffield,"Herdings, Backmoor, Rollestone, Hemsworth",YW-NSI,,435908,384446,Grab
Greater London,LONDON (Deepham STW),UKENTH_TWU_TP000054,LONDON (Deepham STW),535659,193171,Grab
,CAMBRIDGE STW,UKENAN_AW_TP000050,CAMBRIDGE,547187,261751,Grab
,TONBRIDGE STW,UKENSO_SW_TP000020,,559968,146230,Grab
,CHIPPENHAM STW,UKENSW_WXW_TP000023,,391799,171371,Composite
,ALFRETON STW,UKENMI_ST_TP000003,,441319,356891,Grab
Bristol,"Clay Bottom, Eastville, Ridgeway",WW-CUR,,362155,174793,Grab
Sheffield,Porter Brook,YW-SPB,,434544,386201,Grab
,MAIDSTONE AND AYLESFORD STW,UKENSO_SW_TP000030,MAIDSTONE AND AYLESFORD,571975,159382,Composite
Cornwall G7,"Relubbus, St Hilary, Golgsithney",SWS-TAV,,155971,31479,Grab
Greater Manchester,Oldham Butler Green,UU-OBW,,390554,403911,Grab
,STOCKPORT STW,UKENNW_UU_TP000116,,386519,389821,Composite
,DOVER/FOLKSTONE   STW,UKENSO_SW_TP000028,,628575,139968,Grab
,CORBY STW,UKENAN_AW_TP000067,,490525,289058,Grab
,WIGSTON STW,UKENMI_ST_TP000233,,459419,297141,Grab
Birmingham,Bescot Crescent Walsall,ST-BBC,,400627,296708,Grab
Newcastle,Newcastle -Seaton Valley,NW-SVY,,427070,575238,Grab
,SIDMOUTH STW,UKENSW_SWS_TP000064,,313655,90455,Composite
,TORQUAY/ PAIGNTON/ BRIXHAM  ) STW,UKENSW_SWS_TP000075,,289699,56301,Composite
,TELFORD SOUTH   STW,UKENMI_ST_TP000060,,370979,301401,Grab
,BOURNEMOUTH (HOLDENHURST) STW,UKENSW_WXW_TP000038,,413049,95051,Grab
,THORNE STW,UKENNE_YW_TP000133,,467829,414641,Grab
Greater London,Battle Road SPS,TW-BAT,,550601,178741,Grab
,PENRITH STW,UKENNW_UU_TP000100,,354763,529550,Composite
Greater London,LONDON (Long Reach STW),UKENTH_TWU_TP000102,,555599,176701,Grab
,HULL STW,UKENNE_YW_TP000095,HULL STW,516284,429068,Composite
,WASHINGTON STW,UKENNE_NU_TP000055,WASHINGTON STW,432799,555701,Composite
Bristol,Redland,WW-RED,,358479,174539,Grab
,"TOTTON, MARCHWOOD, HYTHE, CADNAM STW""",UKENSO_SW_TP000011,"TOTTON, MARCHWOOD, HYTHE, CADNAM   STW""",438275,111125,Composite
,"BORDON, BORDON, HANTS STW""",UKENTH_TWU_TP000023,,480299,136201,Grab
,DISS STW,UKENAN_AW_TP000078,,612081,279287,Grab
Nottingham,Gelding Residual,ST-GNS,,461142,343098,Grab
Greater London,Havering Park Farm Rd,TW-PFR,,555231,184973,Grab
Nottingham,NOTTINGHAM STW,UKENMI_ST_TP000163,STOKE BARDOLPH (Nottingham),464729,342221,Grab
,MANSFIELD STW,UKENMI_ST_TP000143,,454829,362421,Grab
,LANCASTER (STODDAY) STW,UKENNW_UU_TP000076,LANCASTER (STODDAY) STW,345699,458711,Composite
,RUGBY NEWBOLD STW,UKENMI_ST_TP000182,,449419,276351,Grab
Greater London,Arnold Road,TW-ARN,,537233,182814,Grab
,DEREHAM STW,UKENAN_AW_TP000077,,597632,313606,Grab
,CHALTON STW,UKENAN_AW_TP000051,,502806,226864,Grab
Greater London,"Rayners Lane, Harrow Branch Sewer",TW-RLH,,512977,187746,Grab
Greater Manchester,Stockport Centre,UU-SKC,,386674,395725,Grab
Greater Manchester,Wigan Shevington South,UU-WCF,,354341,410562,Grab
,Fleetwood and Blackpool (Fleetwood Marsh) STW,UKENNW_UU_TP000050,,333099,446501,Grab
,KINGS LYNN STW,UKENAN_AW_TP000154,,560275,322372,Grab
,BLANDFORD FORUM   STW,UKENSW_WXW_TP000085,,391729,102961,Composite
Liverpool,Bank Kirkdale,UU-BKI,,334461,393919,Grab
,LINCOLN STW,UKENAN_AW_TP000161,LINCOLN (Canwick works),499884,370410,Unspecified
,NEWBURY STW,UKENTH_TWU_TP000116,,449859,166721,Grab
,PRESTON (CLIFTON MARSH) STW,UKENNW_UU_TP000102,,345709,427931,Grab
,RADLETT   STW,UKENTH_TWU_TP000021,,513709,201061,Unspecified
Bristol,Hartcliffe,WW-HAR,,358183,169027,Grab
Greater London,Richford Street,TW-RIC,,523118,179632,Grab
Birmingham,Viaduct Street,ST-BVS,,408579,287295,Grab
,LISKEARD   STW,UKENSW_SWS_TP000045,,224102,63078,Composite
Greater London,Earl Sewer,TW-ELS,,536153,178821,Grab
Liverpool,Rimrose,UU-RRO,,333437,395648,Grab
,HUNTINGDON STW,UKENAN_AW_TP000139,,526112,271009,Grab
Nottingham,Clifton,ST-CNR,,455154,334528,Grab
,INGOLDMELLS STW,UKENAN_AW_TP000143,,555731,367766,Grab
Greater London,Walthamstow Black Path,TW-BPH,,536060,187646,Grab
Greater London,Redbridge Roding Valley,TW-ROV,,541593,192895,Grab
,"SWINDON, RODBOURNE, SWINDON, WI STW""",UKENTH_TWU_TP000139,,412709,185801,Grab
,BOSTON STW,UKENAN_AW_TP000023,,535699,340996,Grab
,WALSALL SOUTH   STW,UKENMI_ST_TP000100,,402189,301921,Grab
Bristol,St George,WW-STG,,361749,173663,Grab
Sheffield,"Swallownest, Aughton",YW-NFO,,445121,384917,Grab
,"SLOUGH, WOOD STW""",UKENTH_TWU_TP000133,,494299,179201,Grab
Cornwall G7,Hayle East Quay,SWS-HYL,,155500,37865,Grab
,NEWMARKET STW,UKENAN_AW_TP000194,,563383,267160,Grab
,BURTON ON TRENT   STW,UKENMI_ST_TP000056,,426849,325511,Grab
,YORK (NABURN) STW,UKENNE_YW_TP000029,,460089,447151,Grab
,ERNESETTLE AND SALTASH   STW,UKENSW_SWS_TP000022,,244599,60101,Composite
Leeds,"Little London, Sheepscar, Woodhouse Carr",YW-LLP,,430889,434428,Unspecified
,STROUD STW,UKENMI_ST_TP000208,,378889,204891,Grab
,SOHAM STW,UKENAN_AW_TP000237,,558102,274464,Grab
Leeds,Beeston Hill,YW-BHL,,430119,431880,Grab
Greater London,Enfield Aspen Way,TW-ASP,,535691,199563,Grab
,SHEFFIELD (WOODHOUSE MILL) STW,UKENNE_YW_TP000141,,443369,385781,Grab
,THETFORD STW,UKENAN_AW_TP000261,,585582,283663,Grab
Bristol,Hengrove and Knowle,WW-HEN,,361179,170225,Grab
Bristol,"Broomhill, Part UWE",WW-BFU,,362689,171557,Grab
,OSWESTRY (Mile Oak) STW,UKENMI_ST_TP000167,,330219,327121,Grab
Greater London,Old Bromley Road,TW-OBR,,538787,171338,Grab
,NORTHWICH STW,UKENNW_UU_TP000097,,363739,374161,Composite
Greater Manchester,Stockport South,UU-SKS,,389336,390206,Grab
,"GUILDFORD, GUILDFORD, SURREY STW""",UKENTH_TWU_TP000073,,500299,151601,Grab
Leeds,Morley,YW-MOR,,428222,429580,Grab
,DEWSBURY AND BATLEY STW,UKENNE_YW_TP000107,DEWSBURY AND BATLEY   STW,426089,419971,Grab
,BOURNE STW,UKENAN_AW_TP000026,,510918,319985,Unspecified
Greater London,Barking Gascoigne Rd,TW-GCR,,544514,183330,Grab
,SHEPTON MALLET STW,UKENSW_WXW_TP000077,,360049,143971,Composite
,YEOVIL STW,UKENSW_WXW_TP000111,,357229,116211,Composite
Sheffield,"Fulwood, Ranmoor, Stumperlowe",YW-FRS,,432097,385868,Grab
,NORWICH STW,UKENAN_AW_TP000200,WHITTLINGHAM (Norwich),627841,307418,Composite
Southampton,Southampton Portswood,SW-SPW,,442867,114316,Grab
,LOUTH STW,UKENAN_AW_TP000169,,535811,390139,Grab
,CONGLETON STW,UKENNW_UU_TP000037,,385381,363483,Composite
,LEICESTER STW,UKENMI_ST_TP000222,LEICESTER   STW,459849,311851,Grab
,"RAMSGATE, SANDWICH, DEAL   STW""",UKENSO_SW_TP000022,,633188,162889,Composite
Leeds,"Potternewton, Chapel Allerton",YW-POT,,431310,435931,Grab
Greater London,Canberra Drive,TW-CBD,,511499,182688,Grab
,LYDNEY STW,UKENMI_ST_TP000141,,363649,200551,Grab
Greater London,Fraser Road SPS,TW-FRA,,517108,183586,Grab
Exeter,Exeter Birk's Grange Accommodation,SWS-BGA,,291186,94153,Composite
Birmingham,Cannon Hill,ST-BCA,,406276,283417,Grab
Sheffield,Central Sheffield,YW-WIN,,439511,391538,Grab
,MALVERN   STW,UKENMI_ST_TP000017,,379689,244931,Grab
,WELLS-NEXT-THE-SEA STW,UKENAN_AW_TP000280,,591181,344005,Grab
Sheffield,"Endcliffe, Tapton, Crosspool",YW-NEI,,433259,385878,Grab
,KIDDERMINSTER STW,UKENMI_ST_TP000120,,382559,273751,Grab
Birmingham,Pershore Road,ST-BPE,,406114,283566,Unspecified
,BILLINGHAM STW,UKENNE_NU_TP000009,,447939,525731,Composite
,WHALEY BRIDGE STW,UKENNW_UU_TP000129,,401249,383221,Grab
Greater London,Victoria Embank1,TW-VEG,,530443,180370,Grab
,BURGESS HILL   STW,UKENSO_SW_TP000081,,528801,120569,Composite
,BURSLEDON STW,UKENSO_SW_TP000128,,448199,108701,Grab
,TROWBRIDGE STW,UKENSW_WXW_TP000092,TROWBRIDGE STW,384769,158051,Composite
Leeds,Harehills North,YW-HAR,,432417,434849,Grab
Birmingham,Langley Mill TPS,ST-BLA,,415286,296449,Grab
Greater London,Lilliput,TW-LIL,,550827,187709,Grab
,COLBURN STW,UKENNE_YW_TP000008,,424468,497925,Grab
,CHELMSFORD   STW,UKENAN_AW_TP000055,,573806,206725,Grab
,DERBY STW,UKENMI_ST_TP000074,DERBY STW,439359,334491,Grab
,LITTLEHAMPTON AND BOGNOR   STW,UKENSO_SW_TP000090,,499695,103145,Composite
Birmingham,Bescot Crescent Wolverhampton,ST-BBE,,400581,296680,Grab
,PLYMOUTH CENTRAL STW,UKENSW_SWS_TP000058,PLYMOUTH CENTRAL,249776,54024,Grab
,NORTHALLERTON AND ROMANBY STW,UKENNE_YW_TP000030,,435472,492774,Grab
,BEDFORD STW,UKENAN_AW_TP000016,,508487,249332,Grab
Bristol,"Brentry, Trym, Southmead, Henbury",WW-BRE,,355440,176726,Grab
Greater Manchester,Oldham Royton,UU-ORY,,391911,407633,Grab
,GRANTHAM   STW,UKENAN_AW_TP000106,,490723,342661,Grab
Liverpool,Sandon Dock Main Works,UU-MWO,,333316,392780,Composite
,MARCH STW,UKENAN_AW_TP000176,,544149,299201,Grab
,ELLESMERE PORT STW,UKENNW_UU_TP000047,,342338,374328,Composite
,LOUGHBOROUGH STW,UKENMI_ST_TP000137,,453099,321301,Grab
Birmingham,Hansons Bridge Road,ST-BHA,,414195,291892,Grab
,"LYMINGTON, PENNINGTON, NEW MILTON   STW""",UKENSO_SW_TP000002,,431073,93459,Composite
Nottingham,Nottingham Northern,ST-NNB,,454299,340086,Grab
Leeds,"U Wortley, U Armley, N Wortley",YW-WAC,,428836,432911,Grab
,CHARD STW,UKENSW_WXW_TP000018,,333909,111981,Composite
,LUDLOW STW,UKENMI_ST_TP000139,,351699,273041,Grab
Newcastle,Newcastle -Benwell,NW-BWL,,424085,563556,Grab
,HYNDBURN STW,UKENNW_UU_TP000068,,375619,433371,Composite
,WEYMOUTH STW,UKENSW_WXW_TP000101,WEYMOUTH STW,366380,76721,Composite
,BISHOP AUCKLAND   STW,UKENNE_NU_TP000054,,420529,531581,Grab
,TELFORD   STW,UKENMI_ST_TP000184,,361299,313701,Grab
Leeds,"Lawnswood, Hawksworth, LBA",YW-LWN,,426025,436511,Grab
,NEWTON   STW,UKENNE_NU_TP000003,,428369,523271,Composite
,WORKINGTON STW,UKENNW_UU_TP000139,,300479,531841,Grab
,TUNBRIDGE WELLS   South STW,UKENSO_SW_TP000021,,554505,138089,Grab
Greater London,Appold Street SPS,TW-APP,,533181,181951,Grab
,CREWE STW,UKENNW_UU_TP000038,CREWE STW,366639,357111,Composite
Teesside,Hartlepool Central,NW-HPC,,451084,534691,Grab
Greater London,Dalling Road,TW-DAL,,522637,178961,Grab
Greater London,Enfield Streamside Close,TW-STR,,533731,194061,Grab
Sheffield,Chapletown,YW-SCT,,435918,395673,Grab
,ANDOVER STW,UKENSO_SW_TP000006,,437251,141673,Composite
Sheffield,Part of Firth Park,YW-NTE,,436743,390576,Grab
,BRANCOTE STW,UKENMI_ST_TP000036,,395499,322271,Grab
,ROYSTON STW,UKENAN_AW_TP000222,,535529,242381,Grab
,CHICHESTER STW,UKENSO_SW_TP000107,,484315,103918,Grab
Liverpool,Strand SSO,UU-STS,,334212,390063,Grab
,BURNLEY STW,UKENNW_UU_TP000024,,382849,435121,Composite
Luton,Luton Townhall,TW-LTH,,509004,221333,Grab
,SALISBURY STW,UKENSW_WXW_TP000074,,416039,129131,Composite
Leeds,"Melville Road, Woodhouse, Leeds",YW-WHM,,429760,435437,Grab
,HELSTON STW,UKENSW_SWS_TP000033,,165503,26944,Grab
Leeds,"Craven Road, Woodhouse, Leeds",YW-WHC,,429822,435309,Grab
,LANGLEY STW,UKENMI_ST_TP000128,,415599,296651,Grab
,BRAINTREE STW,UKENAN_AW_TP000029,,576577,222052,Grab
Nottingham,Bilborough Aspley B,ST-BNB,,452490,341390,Grab
,"TILBURY STW, TILBURY, ESSEX""",UKENAN_AW_TP000308,,565353,175767,Grab
Leeds,"New Blackpool, New Farnley, Moor Side",YW-NBL,,427156,431591,Grab
,CROMER   STW,UKENAN_AW_TP000071,,620648,341957,Grab
Birmingham,Minworth STW,ST-BMI,,416031,292284,Grab
,HAILSHAM SOUTH STW,UKENSO_SW_TP000096,,559739,108341,Grab
Liverpool,Fazakerley High,UU-FZH,,338640,397568,Unspecified
,WELLINGTON STW,UKENSW_WXW_TP000096,,312969,121821,Composite
Leeds,"Gledhow, Moortown",YW-GMT,,431971,436262,Grab
Greater Manchester,Wigan Appley Bridge,UU-WCD,,352170,410107,Grab
Birmingham,Wood Lane,ST-BWO,,406159,291125,Grab
Birmingham,Kingsbury Road Solihull,ST-BKI,,413860,291444,Grab
,HEACHAM STW,UKENAN_AW_TP000128,,566869,336315,Grab
Sheffield,Firth Park Area,YW-FPA,,436033,391195,Grab
,MALTON STW,UKENNE_YW_TP000026,,477456,470471,Grab
Nottingham,Carlton DAS,ST-CDG,,462669,342442,Grab
Greater London,Brookmill Road,TW-BMR,,537331,176932,Grab
Greater London,Barking Mallards Rd,TW-MLR,,546438,182398,Grab
Liverpool,Mersey Road,UU-MRD,,338365,385682,Grab
,LOWESTOFT STW,UKENAN_AW_TP000170,,653429,297861,Composite
,BARNSLEY (LUNDWOOD) STW,UKENNE_YW_TP000102,,437799,407001,Composite
,BECCLES STW,UKENAN_AW_TP000015,,644890,290424,Grab
Greater London,"Trumpers Way, Hanwell Sewer",TW-TWH,,515626,179458,Grab
,WITHAM STW,UKENAN_AW_TP000296,,582625,214013,Grab
,CLIFTON STW,UKENAN_AW_TP000060,,517700,240244,Unspecified
Sheffield,Jordanthorpe,YW-JOR,,436172,381140,Grab
,CHECKLEY STW,UKENMI_ST_TP000050,,403429,337391,Grab
Sheffield,Handsworth Top,YW-TTH,,439316,387663,Grab
Grantham,Moy Park Process 1(A),AE-MSA,,490795,336977,Composite
Teesside,Hartlepool North,NW-HPN,,451069,532584,Unspecified
Liverpool,Bank Everton Pt,UU-BEV,,336365,392201,Grab
,DRIFFIELD STW,UKENNE_YW_TP000076,,502661,456898,Composite
Leeds,"Ireland Wood, Iveson Wood",YW-IRE,,426055,438136,Grab
,NORTHAMPTON   STW,UKENAN_AW_TP000107,,481616,261993,Grab
,BURY STW,UKENNW_UU_TP000026,,380039,407811,Composite
Greater London,"Waterside Close, Hendon Branch Sewer",TW-WCH,,523530,189758,Grab
Greater London,"The Ride, South Ealing Sewer",TW-RSH,,517031,178451,Grab
Newcastle,Newcastle - Denton Valley,NW-DTV,,418366,567527,Grab
Leeds,"Headingley, Hyde Park, Woodhouse",YW-HDY,,428160,434771,Grab
Sheffield,Stocksbridge,YW-SKB,,429044,397793,Grab
Leeds,"Oatland Court, Little London, Leeds",YW-LLO,,430446,434612,Grab
Greater London,Tower Hamlet Selby St,TW-SYS,,534476,182113,Grab
,BODMIN (SCARLETTS WELL) STW,UKENSW_SWS_TP000005,,205541,67396,Grab
Sheffield,"Banner Cross, Greystones, Ecclesall",YW-NON,,432875,385675,Grab
,HENDON STW,UKENNE_NU_TP000028,,441059,556121,Composite
Greater Manchester,Cottenham Lane,UU-COT,,383205,399518,Grab
Liverpool,Bank Stanley Road,UU-BST,,334676,393311,Grab
,EASTLEIGH   STW,UKENSO_SW_TP000013,,446839,117931,Composite
Leeds,"Rodley, Bramley, Farsley",YW-RBF,,423023,436242,Grab
Teesside,Hartlepool Headland,NW-HPH,,452452,534282,Grab
,SKELMERSDALE STW,UKENNW_UU_TP000113,,347580,410890,Composite
,ROSSENDALE STW,UKENNW_UU_TP000104,,379569,420611,Grab
Leeds,Beeston Park Side,YW-BPS,,430557,430846,Grab
Liverpool,Fazakerley Low,UU-FZL,,339009,395729,Grab
Basingstoke,Sainsbury Logistic South,AE-BSK,,463700,152461,Unspecified
,EVESHAM STW,UKENMI_ST_TP000091,,403179,244671,Grab
Greater Manchester,Salford University,UU-SUN,,381630,399144,Grab
Leeds,"Meanwood Street, Little London, Leeds",YW-LLM,,430336,434765,Grab
Liverpool,Bank Hale Road,UU-BHA,,343948,382710,Grab
Sheffield,Shirtcliffe Brook,YW-SSB,,443149,385704,Grab
,SCARBOROUGH STW,UKENNE_YW_TP000039,,502608,492250,Grab
,WALTON-LE-DALE STW,UKENNW_UU_TP000123,,354370,427570,Composite
Cornwall G7,Falmouth Floatel in Harbour,SWS-FLT,,180884,32861,Grab
Leeds,"Colton, Whitkirk",YW-COL,,436564,432515,Grab
Worksop,Greencore,AE-GCR,,461584,378340,Composite
Grantham,Moy Park Process 1(B),AE-MSB,,490795,336977,Composite
,CLITHEROE STW,UKENNW_UU_TP000034,,372619,440391,Composite
,CHORLEY STW,UKENNW_UU_TP000032,,356587,417686,Composite
Worksop,Greencore S2,AE-COR,,461584,378340,Composite
Exeter,Exeter East,SWS-EAS,,,,Composite
Greater London,Christopher Jones Garden,TW-CJG,,,,Grab
Liverpool,Bank Hall Relief,UU-BHR,,,,Grab
Exeter,Exeter West,SWS-WES,,,,Composite
Liverpool,Liverpool Northern,UU-LNO,,,,Grab
Greater London,All- Day,RAD-ALD,,,,Composite
Greater London,All- Night,RAD-ALN,,,,Composite
Greater London,Entrance,RAD-ENT,,,,Composite
Greater London,Restaurant,RAD-RST,,,,Composite
Greater London,Gym,RAD-GYM,,,,Composite
